kegg_id,metatlas_inchi_key
C15118,AENXIAWIJGWYCP-UHFFFAOYSA-N
C07665,AEOCXXJPGCBFJA-UHFFFAOYSA-N
C02890,AEQDJSLRWYMAQI-KRWDZBQOSA-N
C09409,AEQDXSFIHGWHDV-XPGAZNKBSA-N
C10349,AEQMIFRODRFTJF-SLFFLAALSA-N
C12144,AERBNCYCJBRYDG-KSZLIROESA-N
C16484,AERDYPVCYXMHIV-NTSWFWBYSA-N
C15449,AERGGMDNGDDGPI-HOTGVXAUSA-N
C14467,AERGGMDNGDDGPI-IYBDPMFKSA-N
C12622,AEUBLTTWYCDTGM-HXOXMVQHSA-N
C06984,AEUTYOVWOVBAKS-UWVGGRQHSA-N
C00630,AEWHYWSPVRZHCT-NDZSKPAWSA-N
C11675,AEXBRBWRPNGGEZ-FKBYEOEOSA-N
C19210,AFAIELJLZYUNPW-UHFFFAOYSA-N
C02299,AFBPFSWMIHJQDM-UHFFFAOYSA-N
C15253,AFBZBYQKIMBONK-RNXAVOFCSA-N
C15447,AFBZBYQKIMBONK-ZELOLHMESA-N
C18279,AFDHSXYOTGMEAP-UHFFFAOYSA-N
C05984,AFENDNXGAFYKQO-UHFFFAOYSA-N
C05984,AFENDNXGAFYKQO-VKHMYHEASA-N
C10305,AFHJQYHRLPMKHU-OSYMLPPYSA-N
C17778,AFHJQYHRLPMKHU-WEZNYRQKSA-N
C11462,AFIFLOMGXNKHJX-YBGGAFRISA-N
C19099,AFIIBUOYKYSPKB-UHFFFAOYSA-N
C09152,AFJPGVUCVDCFPM-OBYWIAIFSA-N
C11579,AFLRJCXCYQMRGE-UHFFFAOYSA-N
C19274,AFLXUQUGROGEFA-UHFFFAOYSA-N
C06711,AFMVESZOYKHDBJ-UHFFFAOYSA-N
C11471,AFMYMMXSQGUCBK-CWSCUYGGSA-N
C08076,AFNXATANNDIXLG-UHFFFAOYSA-N
C08727,AFOLOMGWVXKIQL-UHFFFAOYSA-O
C08062,AFPIGEHQFVBSJA-QHASVRPPSA-N
C02807,AFPRJLBZLPBTPZ-UHFFFAOYSA-N
C14666,AFPZIAQJQAQDAQ-UHFFFAOYSA-N
C09609,AFQDIEHIPKSXRL-UHFFFAOYSA-N
C10788,AFSDNFLWKVMVRB-UHFFFAOYSA-N
C11984,AFSHKCWTGFDXJR-BWFQMGBFSA-N
C05813,AFTBILPWMUSGIN-MYCGWMCTSA-N
C14055///C11145,AFVFQIVMOAPDHO-UHFFFAOYSA-N
C17840,AFWKBSMFXWNGRE-ONEGZZNKSA-N
C14370,AFXPPGXJWHJULD-UHFFFAOYSA-N
"C00725
C16241///C16241///C00725",AGBQKNBQESQNJD-SSDOTTSWSA-N
C00725,AGBQKNBQESQNJD-UHFFFAOYSA-N
C14179,AGGIJOLULBJGTQ-UHFFFAOYSA-N
C11702,AGHANLSBXUWXTB-UHFFFAOYSA-N
C13299,AGJUUQSLGVCRQA-SWOUQTJZSA-N
C18468,AGKSTYPVMZODRV-UHFFFAOYSA-N
C01246,AGLXCEGQRIYVRV-RKDOUXCPSA-N
C07342,AGMMTXLNIQSRCG-UHFFFAOYSA-N
C15536,AGNDLYBQPUJADV-VCWNUMGPSA-N
C06912,AGOYDEPGAOXOCK-KCBOHYOISA-N
C16434,AGPKZVBTJJNPAG-UHFFFAOYSA-N
C00407,AGPKZVBTJJNPAG-WHFBIAKZSA-N
C15741,AGPXPIZWMMLJPG-CBZXLTCLSA-N
C04752,AGQJQCFEPUVXNK-UHFFFAOYSA-N
C05670,AGSPXMVUFBBBMO-UHFFFAOYSA-N
C16522,AHANXAKGNAKFSK-PDBXOOCHSA-N
C14674,AHBKIEXBQNRDNL-BXXPAUNWSA-N
C00460,AHCYMLUZIRLXAA-SHYZEUOFSA-N
C15419,AHDDRJBFJBDEPW-DTWKUNHWSA-N
C12833,AHDWVTPNJCBFTN-TZFCGSKZSA-N
C10297,AHKDJQYHVWSRLT-UHFFFAOYSA-N
C17379,AHKZTVQIVOEVFO-UHFFFAOYSA-N
C00077,AHLPHDHHMVZTML-BYPYZUCNSA-N
C11320///C00515,AHLPHDHHMVZTML-SCSAIBSYSA-N
C00822,AHMIDUVKSGCHAU-LURJTMIESA-N
C15095,AHOLUZZXIVWXQQ-UHFFFAOYSA-N
C07415,AHOUBRCZNHFOSL-YOEHRIQHSA-N
C05131,AHPWEWASPTZMEK-PEBGCTIMSA-N
C10957,AHTPATJNIAFOLR-UHFFFAOYSA-N
C15154,AHUAGQAMTIBPDR-JFYOIKPISA-N
C19528,AHWMWMNEYBHQNL-FMQUCBEESA-N
C16823,AHZBEVXBKNYXPU-UHFFFAOYSA-N
C11973,AIAMVBSMPZPBPX-QPBPBONSSA-N
C15323,AIBFRTWVQFOKIS-DRMAHVMPSA-N
C08613,AIBOHNYYKWYQMM-IQKLXLPLSA-N
C08613,AIBOHNYYKWYQMM-MXBSLTGDSA-N
C20382,AICIYIDUYNFPRY-UHFFFAOYSA-N
C15172,AIFBIDNFLLKTLI-RSBWHNKUSA-N
C10048,AIFCFBUSLAEIBR-UHFFFAOYSA-N
C02381,AIFNAMVERSBWPS-ZCFIWIBFSA-N
C20157,AIFRHYZBTHREPW-UHFFFAOYSA-N
C14434,AIGRXSNSLVJMEA-UHFFFAOYSA-N
C11368,AIJTTZAVMXIJGM-UHFFFAOYSA-N
C00546,AIJULSRZWUXGPQ-UHFFFAOYSA-N
C18988,AIKKULXCBHRFOS-UHFFFAOYSA-N
C10753,AILDTIZEPVHXBF-XSLAGTTESA-N
C05772,AILJETHLKULYHE-IHDLTXBCSA-N
C01709,AIONOLUJZLIMTK-AWEZNQCLSA-N
C04037,AIQDYKMWENWVQJ-DTEWXJGMSA-N
C05385,AIQDYKMWENWVQJ-QIUUJYRFSA-N
C08667,AIQHURFKXYCRCF-DFKOQAFRSA-N
C10124,AIQMLBKBQCVDEY-DWOUCZDBSA-N
C10132,AIQMLBKBQCVDEY-OZRXBMAMSA-N
C17496,AIULWNKTYPZYAN-SFHVURJKSA-N
C12173,AIXQQSTVOSFSMO-RBOXIYTFSA-N
C04286,AIXYOVZVCBPJAR-UHFFFAOYSA-N
C20231,AJFKXWQDHFYKFK-UPHRSURJSA-N
C11704,AJFTZWGGHJXZOB-UHFFFAOYSA-N
C03725,AJFWMDFTVVFMHY-NSHDSACASA-N
C17521,AJIFASHLGBHDDS-GEFDNOIESA-N
C14367,AJKLKINFZLWHQE-UHFFFAOYSA-N
C13963,AJLFOPYRIVGYMJ-INTXDZFKSA-N
C09765,AJNRZGCOXRHMEZ-ZDRHXKJUSA-N
C12590,AJOQSQHYDOFIOX-UHFFFAOYSA-N
C11437,AJPADPZSRRUGHI-RFZPGFLSSA-N
C16509,AJPPBYXIXOLGAV-QHKDMNIJSA-N
C15180,AJPSTLTYGUDWEO-FHSUWLEUSA-N
C06601,AJPXTSMULZANCB-UHFFFAOYSA-N
C11104,AJQPXMGLDMXYMI-HOQQJHGQSA-N
C16659,AJRJPORIQGYFMT-RMOCHZDMSA-N
C11917,AJSDVNKVGFVAQU-BIIVOSGPSA-N
C18082,AJSPSRWWZBBIOR-UHFFFAOYSA-N
C14672,AJYOOHCNOXWTKJ-UHFFFAOYSA-N
C09896,AKASWINDKIEEBO-ZJUUUORDSA-N
C11568,AKCPGFVZRKPWCP-UHFFFAOYSA-N
C05749,AKGAHYLJHAOPKQ-UHFFFAOYSA-N
C01404,AKGWUHIOEVNNPC-LURJTMIESA-N
C09418,AKGWXHYTRBFUAD-SXOMAYOGSA-N
C04498,AKIHYQWCLCDMMI-VMPITWQZSA-N
C09592,AKNNEGZIBPJZJG-MSOLQXFVSA-N
C18701,AKNQMEBLVAMSNZ-UHFFFAOYSA-N
C15347,AKRVBASKTIDYRB-UHFFFAOYSA-N
C08753,AKSGLPBROCFVSE-TUHDNREHSA-N
C17431,AKTRFOPOAKDICT-GHHIWPQQSA-N
C08174,AKUJBENLRBOFTD-RPRRAYFGSA-N
C00969,AKXKFZDCRYJKTF-UHFFFAOYSA-N
C07829,ALARQZQTBTVLJV-UHFFFAOYSA-N
C11679,ALAYFJAHDKALQW-AXHNFQJDSA-O
C01347,ALCPNMZQIUFCEL-KVQBGUIXSA-N
C20121,ALEWCKXBHSDCCT-YFVJMOTDSA-N
C02821,ALEXXDVDDISNDU-JZYPGELDSA-N
C11792,ALFGKMXHOUSVAD-UHFFFAOYSA-N
